analysis,computable_from_frozen_outputs,reason,available_in
Sensitivity: wavelet basis (haar/db2/db4/db6/db8/sym4/coif2),False,"changing the basis changes the decomposition, so every band expert and the meta-learner must be refitted",not run for this revision
Sensitivity: trailing-window length W (128-2048),False,the window defines the causal band values; new bands require retraining,not run for this revision
Sensitivity: decomposition level J (1-5),False,the level defines how many bands exist; the expert pool changes,not run for this revision
Sensitivity: meta-learner ridge alpha,False,"the saved files store the FUSED forecast, not the four individual band forecasts, so the meta-learner cannot be refitted from them",not run for this revision
Ablation: remove a band expert (trend/daily/hourly/noise),False,individual band forecasts are not stored in the released predictions,not run for this revision
Ablation: causal vs whole-series decomposition,False,requires refitting under a different decomposition regime,not run for this revision
Multi-seed variance of the proposed model,False,the manuscript's run used a single fixed seed (42); additional seeds require retraining,not run for this revision
Post-hoc fusion of saved predictions,True,operates purely on stored prediction vectors,this package (s07_metafusion_and_scope.py)
"Statistical validation (Wilcoxon, Cohen's d, CIs, Holm, bootstrap)",True,computed from stored per-pair predictions,this package (s02_statistical_validation.py)
Uncertainty: split conformal on all stations and horizons,True,split conformal is a post-hoc wrapper on stored predictions,this package (s03_uncertainty.py)
"Robustness, error structure, conditional skill",True,computed from stored residuals,this package (s04_robustness.py)
Result consistency verification,True,recomputes reported metrics from stored predictions,this package (s01_consistency_verification.py)
